"spp","ncells","nrecords","maxent810m","maxent25km","maxent50km","clippedMaxent810m","clippedMaxent25km","clippedMaxent50km","convexHull","occurrenceBUffer"
"Gnaphalium palustre",1118,1539,254311,444,148,253643,440,146,388062341289.499,471838607168.459
"Goodmania luteola",87,133,88065,209,74,13942,32,16,46068911128.8374,20250405269.4063
"Goodyera oblongifolia",117,138,113600,253,88,91270,166,56,111408831872.205,93201248803.2128
"Gratiola ebracteata",167,210,203366,467,154,125938,252,74,145079539215.173,126856350918.226
"Gratiola heterosepala",42,64,205801,518,168,45962,105,39,75428676126.1752,35046883693.9575
"Gratiola neglecta",21,34,85616,275,99,14958,56,27,56669372450.1536,19587733162.6053
"Grayia spinosa",493,725,161664,296,99,135459,239,82,183369202783.614,166216710517.593
"Grindelia camporum",423,525,172778,395,140,158223,310,103,232097504566.293,253112358562.903
"Grindelia fraxinipratensis",1,2,623355,744,213,238,3,1,0,312507978.007161
"Grindelia hallii",43,60,31023,260,103,1414,9,3,2577678422.48439,4047577250.68594
"Grindelia hirsutula",889,1543,99830,286,104,97248,260,93,162578211140.23,216237820767.902
"Grindelia nana",29,29,70883,230,82,20302,59,22,28621506010.365,18123709760.5924
"Grindelia stricta",147,205,12661,79,38,12350,75,36,88745776707.9565,67016867162.1376
"Grusonia parishii",24,30,70252,195,66,7527,24,11,9071579851.18433,6780316407.56327
"Grusonia pulchella",3,4,300,6,2,86,3,1,593132.332775068,428941369.00453
"Gutierrezia californica",514,762,233718,434,130,132061,233,72,125949880672.668,139954039052.24
"Gutierrezia microcephala",296,452,129135,269,91,89014,162,52,100922970345.054,104779774995.956
"Gutierrezia sarothrae",436,621,321772,579,175,100328,209,65,126692085598.516,110973274193.856
"Gymnosteris parvula",24,35,31915,118,48,4848,24,16,5981884082.88567,5836609551.62909
"Hackelia amethystina",50,102,33195,172,65,5976,32,14,32417216699.9219,14606205147.1063
"Hackelia bella",44,52,53086,150,56,16297,37,14,12305181515.238,14991998337.6267
"Hackelia brevicula",14,18,1384,17,7,550,3,3,84882273.0033892,908141521.655846
"Hackelia californica",82,116,78981,207,70,40739,93,34,68239229059.0186,41353764874.5548
"Hackelia cusickii",33,58,72724,189,70,22905,41,13,14861676983.7228,16327083163.0248
"Hackelia floribunda",35,47,102778,201,75,27399,69,26,23875669268.5456,21866828216.9747
"Hackelia micrantha",208,268,78681,233,80,68027,179,65,132487451742.498,109987932050.135
"Hackelia mundula",54,67,69545,235,84,24685,66,23,30030898302.4314,25070132809.293
"Hackelia nervosa",85,108,41375,154,58,23551,58,21,25741050631.2932,27389536890.4163
"Hackelia setosa",9,20,46399,184,64,5456,25,10,8810339889.99026,5712964287.93735
"Hackelia sharsmithii",28,65,7899,39,14,2264,8,5,550503018.861484,2176730849.39814
"Hackelia velutina",61,73,66467,186,69,23274,59,21,22443820198.0217,24498654047.7455
"Halimolobos jaegeri",59,99,36880,149,60,10656,35,13,25437353082.4091,15374818035.4932
"Harmonia doris-nilesiae",14,18,25606,112,48,2616,8,4,756529722.148192,2197716168.4981
"Harmonia guggolziorum",2,3,47250,205,77,260,2,1,51046.4923769603,330426031.986153
"Harmonia hallii",31,64,42078,162,64,3437,11,5,1665931620.37773,3150044413.11378
"Harmonia nutans",56,119,40377,166,66,3986,10,4,1135295215.62976,3056167478.31643
"Harmonia stebbinsii",21,38,41937,158,62,1597,8,4,621384087.422823,1811132692.88753
"Harpagonella palmeri",168,315,135308,368,126,17158,45,17,12802017359.0899,18613550188.2996
"Hastingsia alba",147,189,99918,237,79,63464,114,39,64466051638.1105,57306491110.0174
"Hastingsia serpentinicola",44,52,90906,213,77,24769,56,22,29908653824.3872,19371157979.4208
"Hazardia brickellioides",23,37,72668,210,73,12991,37,14,10507536326.5485,10861112698.5564
"Hazardia cana",16,30,6677,61,33,162,4,3,111068940.537614,1007572004.42849
"Hazardia detonsa",50,158,7053,59,29,684,6,4,256719678.589469,1843064570.53244
"Hazardia orcuttii",6,11,7549,75,39,408,3,3,22094420.0395509,656660833.705927
"Hazardia squarrosa",537,870,92209,284,103,60353,140,49,156615424971.753,112816471307.568
"Hazardia stenolepis",16,39,233809,405,121,5099,21,9,3398664965.92804,4188965721.09624
"Hazardia whitneyi",173,259,84918,248,85,64775,169,58,117991747577.166,91338376086.3846
"Hecastocleis shockleyi",14,29,22595,101,43,5163,23,11,6644324800.41985,5260363459.3971
"Hedeoma drummondii",3,5,193505,292,95,953,8,3,20537417.7143366,670799710.251988
"Hedeoma nana",73,122,105842,251,85,10525,26,10,5760878604.08554,7885631702.38519
"Helenium autumnale",4,8,158705,364,120,4242,19,10,19156430098.1391,4327619829.34166
"Helenium bigelovii",551,864,127642,310,107,115733,259,93,249512430241.619,245990059258.577
"Helenium bolanderi",33,68,4239,28,14,2654,17,10,3465695526.70636,5779508940.65223
"Helenium puberulum",394,570,182772,389,134,173507,346,112,223238527350.251,253541107197.511
"Helianthella californica",249,334,170627,332,110,138818,249,82,187426447076.049,141660393338.603
"Helianthella castanea",34,57,38077,174,65,4590,16,8,2074190834.44941,4349234886.63699
"Helianthus annuus",429,548,376412,589,181,315284,539,173,365610772353.202,403450242369.019
"Helianthus bolanderi",149,224,123566,316,108,89324,208,68,125829995231.611,110032468273.938
"Helianthus californicus",91,137,136732,377,129,52955,132,47,135079698621.669,73203671783.3326
"Helianthus cusickii",15,18,53990,154,66,10492,31,11,16015955519.438,9232162408.24214
"Helianthus exilis",22,24,126779,277,93,18919,48,18,39487878807.2948,16689473575.4561
"Helianthus gracilentus",407,585,162014,303,104,75443,146,53,105742899281.096,83746199920.6369
"Helianthus inexpectatus",1,11,623355,744,213,480,4,2,14.2607992608449,310576166.017324
"Helianthus niveus",43,75,58704,143,50,6530,22,10,6720468556.45091,6373602621.79209
"Helianthus nuttallii",38,105,204441,451,149,26799,64,23,42819854213.1044,25128839017.9544
"Helianthus petiolaris",46,64,111684,238,81,8029,32,13,14287153037.4011,12656294477.3371
"Heliomeris multiflora",59,84,76074,254,92,11994,37,15,19918840737.0552,12519623694.0983
"Heliotropium convolvulaceum",32,42,135291,229,71,27210,61,22,24196872662.4191,20649463905.4191
"Heliotropium curassavicum",836,1091,340237,547,170,337970,540,166,392179040662.872,462889682940.694
"Hemieva ranunculifolia",18,31,38912,148,50,7911,29,16,17795142880.2981,8192435629.3254
"Hemitomes congestum",37,44,58500,156,58,27828,88,37,146647571087.502,57348237990.6343
"Hemizonella minima",448,601,199929,374,128,184918,323,103,271779091609.398,241663246597.675
"Hemizonia congesta",666,1219,146160,330,111,117779,220,73,125332638163.459,129326175923.05
"Heracleum maximum",218,303,171475,373,129,152194,318,110,281027751291.884,235684402257.131
"Herissantia crispa",1,1,623355,744,213,468,4,2,0,309016994.374929
"Hesperevax acaulis",93,110,125169,330,122,91828,208,80,153038104962.911,115442081825.409
"Hesperevax caulescens",92,119,86221,240,93,51681,103,35,66281768808.4159,47095248583.5275
"Hesperevax sparsiflora",135,207,77290,251,93,49636,132,54,109033172767.857,85108360261.9227
"Hesperidanthus jaegeri",10,27,7254,53,23,1188,6,4,286762120.841466,998560688.264171
"Hesperocallis undulata",244,317,126911,210,69,81650,136,42,69843388491.3088,76054431688.2625
"Hesperochiron californicus",118,151,134192,271,91,105821,196,67,156478288975.119,109899777108.325
"Hesperochiron pumilus",80,98,105878,250,87,80044,182,60,142870937545.63,103971691797.249
"Hesperocnide tenella",295,381,220486,450,145,125499,254,90,149665056713.833,150292631803.614
"Hesperocyparis abramsiana",25,111,33968,151,69,1332,7,3,233330320.115014,1440286085.59719
"Hesperocyparis bakeri",67,209,99477,272,99,19322,53,19,23339948194.5659,16196808469.6105
"Hesperocyparis forbesii",63,242,151740,388,131,6756,20,11,5543378330.02824,5967969148.4795
"Hesperocyparis goveniana",25,154,7419,51,24,386,4,2,70819894.3747921,792802493.305714
"Hesperocyparis macnabiana",188,437,76276,205,81,33547,77,27,37719687663.8217,30100260447.8547
"Hesperocyparis macrocarpa",28,145,3538,42,24,429,4,2,123890313.052579,1046479698.06763
"Hesperocyparis nevadensis",45,92,69745,240,87,3831,11,6,1231933672.93368,3064042027.22582
"Hesperocyparis pygmaea",59,119,8674,71,38,1865,9,4,1165627845.28301,2690850575.97763
"Hesperocyparis sargentii",231,614,68914,205,82,27261,70,26,44738352058.1124,39381792787.4891
"Hesperocyparis stephensonii",9,31,318015,523,167,852,3,2,22210682.8236997,615443454.713621
"Hesperolinon adenophyllum",60,128,72147,181,70,7484,17,10,2684126908.17678,5328925144.75202
"Hesperolinon bicarpellatum",56,139,62211,196,80,3682,12,6,1308713514.82963,3324341156.29049
"Hesperolinon breweri",32,55,84460,235,82,5721,18,8,2275072970.84353,4181379701.23913
"Hesperolinon californicum",104,147,79186,229,85,29656,75,28,42353969701.7767,31155934583.3921
"Hesperolinon clevelandii",60,88,123793,302,105,14884,40,16,9588145441.51805,10827213421.5939
"Hesperolinon congestum",33,115,18637,135,61,3107,13,6,859889309.388522,2856501178.15128
"Hesperolinon didymocarpum",8,17,139567,389,130,1252,6,3,164468943.838889,1095443748.30238
"Hesperolinon disjunctum",95,144,101375,258,93,18055,47,18,23665210854.357,17382263450.5952
"Hesperolinon drymarioides",26,53,38997,159,65,3641,12,6,2024700604.00591,4101949381.21321
"Hesperolinon micranthum",374,527,261310,464,149,237310,411,128,280443898735.216,279671656464.096
"Hesperolinon spergulinum",64,90,44974,148,59,14080,36,16,14978504914.0375,13992071703.5931
"Hesperolinon tehamense",35,76,59252,212,82,2185,8,2,513320309.056318,1903256941.92746
"Hesperomecon linearis",132,228,175078,423,135,64452,149,52,78718267346.8047,67732477897.1101
"Hesperoyucca whipplei",519,779,153052,331,111,85403,180,60,148396894375.883,125479416837.809
"Heteranthera dubia",7,14,80584,369,137,5209,19,9,7806712191.24346,4090733187.28676
"Heterocodon rariflorum",389,506,211283,385,123,203909,370,118,259608300749.246,281539802131.296
"Heteromeles arbutifolia",984,1442,206031,412,140,189320,361,118,217694592612.381,265022730601.672
"Heterotheca grandiflora",675,900,176019,403,135,147591,296,99,184514215901.66,221106499141.991
"Heterotheca monarchensis",2,2,174019,306,103,412,3,2,0,339465449.040473
"Heterotheca oregona",177,266,164650,348,118,136063,248,77,153645471508.352,156889457235.588
"Heterotheca sessiliflora",540,807,246246,472,157,166246,282,93,148482471805.058,173875844030.391
"Heterotheca shevockii",24,45,141248,335,105,1269,6,3,231707459.310879,1671556032.76171
"Heterotheca subaxillaris",10,23,184367,326,106,13270,48,24,55890239675.1252,17290641483.4958
"Heterotheca villosa",62,89,114140,259,91,36911,79,29,75589294177.793,36460787996.1238
"Heuchera abramsii",13,51,2619,48,23,115,2,2,232316992.725638,1312105416.46753
"Heuchera brevistaminea",11,16,45308,264,105,642,4,2,27492378.17409,708451997.080448
"Heuchera caespitosa",99,189,33262,234,95,5170,27,11,28135065946.5832,13068195849.9535
"Heuchera cylindrica",25,38,57402,186,72,5093,16,5,5457789073.43047,4466739045.70235
"Heuchera hirsutissima",23,39,123518,392,145,1242,7,4,499555891.866503,1750988931.72833
"Heuchera maxima",30,86,6983,60,32,658,6,4,199766847.954086,1713797011.32458
"Heuchera merriamii",66,94,13460,109,43,5360,25,8,8621115692.68676,12139621912.5827
"Heuchera micrantha",380,512,164810,344,115,150916,261,85,191802814394.337,186844680083.666
"Heuchera parishii",69,116,20453,111,48,1140,5,2,784876796.2278,2377448445.37176
"Heuchera parvifolia",38,86,9215,77,32,3028,16,10,2697198277.00505,4137858691.58829
"Heuchera pilosissima",58,96,16751,97,45,6517,36,16,9665974305.4731,13153742467.7316
"Heuchera rubescens",361,563,154168,303,105,82915,170,62,132286617798.429,108821315148.589
"Hibiscus denudatus",212,299,87617,198,71,37519,66,22,27691718253.4569,34314225759.1338
"Hibiscus lasiocarpos",24,32,70819,245,94,7163,22,9,4490386014.28332,5340717765.79609
"Hieracium albiflorum",627,846,191165,352,121,187198,331,110,302625862748.819,294916767369.006
"Hieracium argutum",110,163,28095,180,73,21465,82,33,118993593592.362,54635322064.2877
"Hieracium bolanderi",53,61,77182,181,67,21259,53,21,27584405728.2184,18637634565.8931
"Hieracium greenei",65,95,101096,261,92,43909,87,30,41416224370.4691,36773381109.9366
"Hieracium horridum",302,415,82226,240,81,67251,173,59,147349447365.991,118382473969.657
"Hieracium nudicaule",59,78,134919,287,98,63107,111,37,50191709660.992,46127302689.7657
"Hieracium parryi",5,7,5922,37,18,928,8,3,896254795.713199,1744835890.3754
"Hieracium scouleri",100,120,125303,275,97,79560,130,42,70356174459.0554,66459342085.4108
"Hieracium triste",86,110,26431,131,56,22332,87,34,69178090343.4577,43490335019.9352
"Hilaria jamesii",84,120,94780,255,90,35441,85,30,43712416209.9275,37038244381.7156
"Hilaria rigida",586,759,204273,305,96,99946,141,44,67654836489.7457,87498758914.4452
"Hippuris vulgaris",62,79,181001,414,136,103236,207,75,226674097796.904,113631786572.057
"Hoffmannseggia glauca",149,245,254612,412,132,88305,166,60,127057817672.246,88529995129.9335
"Hoffmannseggia microphylla",160,335,71564,150,51,15748,41,16,17314542921.0505,16728270290.9847
"Hoita macrostachya",241,299,166592,331,111,133325,257,86,169097491859.997,166593380016.495
"Hoita orbicularis",149,206,157114,383,135,94269,224,82,174349102321.778,130156830632.961
"Hoita strobilina",22,45,72169,239,88,5517,15,7,3834775928.32906,4475944942.60239
"Hollisteria lanata",92,139,138652,338,107,31125,66,24,21925214568.6,26189768250.3075
"Holmgrenanthe petrophila",8,13,18059,106,41,230,2,1,11987042.9863421,522839085.399139
"Holocarpha heermannii",139,223,232893,443,133,78253,157,53,81100033152.6373,71126961167.8613
"Holocarpha macradenia",41,123,18063,121,58,2920,15,6,3393758307.84942,4430888209.84421
"Holocarpha obconica",45,83,65210,278,99,14856,45,19,31335737173.4641,18734360151.102
"Holocarpha virgata",223,344,130535,331,122,96332,190,59,131045768938.817,101075883547.978
"Holodiscus discolor",1438,2123,211295,403,140,211193,401,139,366056596665.738,433045367728.604
"Holozonia filipes",56,105,155253,330,113,53658,108,41,68361719229.9367,42868508880.3785
"Hordeum arizonicum",6,6,299203,507,158,10059,31,14,59907211274.0389,9967785480.19332
"Hordeum brachyantherum",1012,1502,291223,538,171,288923,516,160,312981205849.566,417370481709.752
"Hordeum depressum",287,444,192215,456,139,138430,311,99,252338278311.171,239965563647.735
"Hordeum intercedens",123,203,160597,384,122,39922,100,41,70961162221.9194,51432913384.2957
"Hordeum jubatum",217,290,83490,253,97,78325,203,80,342603302184.871,282335016079.078
"Horkelia bolanderi",19,49,51096,154,58,2010,9,4,480207899.404534,1797328435.24855
"Horkelia californica",162,205,105567,304,106,63595,167,65,151414449047.456,108923781201.347
"Horkelia clevelandii",78,141,72475,307,117,3694,15,6,2653038789.3737,4537772391.99223
"Horkelia congesta",1,1,623355,744,213,472,2,1,0,309016994.374919
"Horkelia cuneata",254,440,38434,142,60,30717,96,38,70761756300.29,62724230048.8536
"Horkelia daucifolia",49,74,61546,284,104,15503,43,16,17135409638.095,14675462097.9965
"Horkelia fusca",304,447,99566,234,79,81955,161,53,89000881104.3416,92418452679.0995
"Horkelia hendersonii",3,6,26836,172,71,129,2,2,303535.438406789,366726050.966433
"Horkelia hispidula",18,31,1935,25,11,770,4,3,226832382.976241,1290844584.63278
"Horkelia howellii",1,1,623355,744,213,469,3,1,0,309016994.374929
"Horkelia marinensis",37,75,19721,82,35,5423,26,13,6037808112.16398,7859400839.50563
"Horkelia parryi",36,93,97320,284,100,7708,25,11,5810216970.98911,6172496533.07477
"Horkelia rydbergii",130,224,68638,234,84,5194,19,9,7328800277.05995,7676461623.91465
"Horkelia sericata",52,117,20394,62,25,5082,13,5,2415428349.85477,4332347058.1597
"Horkelia tenuiloba",29,59,32329,116,50,4614,16,8,3447775027.17476,4327795351.86276
"Horkelia tridentata",253,346,94454,218,77,87248,173,56,118483122037.495,113000727729.206
"Horkelia truncata",42,75,118454,269,97,6866,14,7,3242467524.45121,5213006963.05093
"Horkelia tularensis",7,34,16335,51,19,345,3,2,18903247.7381988,586162549.871145
"Horkelia wilderae",27,88,20077,131,49,919,5,2,82003876.2699543,923330784.133991
"Horkelia yadonii",34,61,77914,275,105,5934,23,11,4141102547.20318,5069522000.0509
"Horkeliella congdonis",38,55,28202,101,42,7166,25,13,5588747713.99803,7215350628.73865
"Horkeliella purpurascens",49,92,39850,199,72,6283,20,6,3972196301.14741,6844893939.75739
"Horsfordia alata",15,27,46165,96,34,4247,12,7,8864574340.69746,4502748154.9585
"Horsfordia newberryi",48,77,102621,231,85,11579,26,12,11109677912.118,10176841972.3507
"Hosackia crassifolia",499,770,182769,407,143,168725,357,122,305578518698.036,289362654947.442
"Hosackia gracilis",177,259,37283,128,56,26942,79,32,34322407159.8456,42910620457.4158
"Hosackia incana",22,36,97072,220,81,9947,24,11,7476741163.64989,7857916735.50629
"Hosackia oblongifolia",664,926,172737,388,135,156872,340,116,293421995983.029,299238947132.243
"Hosackia pinnata",56,70,141375,266,90,80306,145,48,91749640378.0632,64436696553.316
"Hosackia rosea",27,45,42612,183,71,9087,32,15,12013996438.5801,9891216156.94188
"Hosackia stipularis",82,101,120686,272,98,80160,186,69,147241676131.423,98710279486.8684
"Hosackia yollabolliensis",8,19,38217,168,66,735,9,6,449899736.152453,1598956011.28744
"Howellanthus dalesianus",16,42,16818,130,48,1843,8,3,634653974.316741,1937705807.64917
"Howellia aquatilis",5,9,64388,165,57,619,2,1,23438551.947237,629609446.436321
"Hulsea algida",154,268,18695,71,31,17248,48,21,22168944491.9491,26351855389.7347
"Hulsea brevifolia",53,87,91696,245,90,10977,27,9,6604617231.70274,8428712933.10875
"Hulsea californica",54,87,44578,247,102,3560,12,5,2936909091.07762,5321390321.257
"Hulsea heterochroma",139,205,105381,414,148,53965,197,76,172112000998.903,115043358666.522
"Hulsea mexicana",3,3,319994,487,148,881,5,3,229854169.232059,852249691.688124
"Hulsea nana",33,67,19982,139,57,2443,18,8,6686497523.39142,5791960911.07681
"Hulsea vestita",386,673,130723,308,113,37710,104,41,81277381072.035,56676561915.2786
"Hydrocotyle ranunculoides",90,137,142046,405,139,66704,173,64,191489900194.854,98943164570.2204
"Hydrocotyle umbellata",45,65,297470,488,144,38116,87,29,99265420241.4215,37535265434.8667
"Hydrocotyle verticillata",76,99,153567,395,132,81104,215,82,220240587801.593,145924021192.516
"Hydrophyllum capitatum",91,128,73893,197,72,42740,83,29,57206242627.4589,44111819004.0888
"Hydrophyllum fendleri",21,25,43909,143,48,7160,24,11,6611261966.6133,6712782455.18747
"Hydrophyllum occidentale",236,289,130856,271,92,114250,202,67,155562475274.393,141730234256.836
"Hydrophyllum tenuipes",25,37,46592,186,66,12722,37,13,12592737272.7835,11998582008.6839
"Hymenopappus filifolius",131,234,89374,240,89,8820,43,21,53259608324.7804,24854522237.2896
"Hymenothrix wrightii",24,32,32043,217,90,1279,8,3,416480115.267677,2018203045.68688
"Hymenoxys cooperi",107,168,96152,284,100,14765,55,24,49993632426.444,21525422443.1563
"Hymenoxys hoopesii",163,244,34048,122,49,25721,74,27,86118853084.26,47804029713.8017
"Hymenoxys lemmonii",26,34,75884,290,109,12351,42,17,34537746589.5542,13698989522.6931
"Hymenoxys odorata",15,36,9327,53,24,1207,8,5,344016625.76471,2135974592.26928
"Hypericum anagalloides",493,637,176452,342,118,172905,314,104,313359579090.649,315145671952.161
"Hypericum concinnum",180,232,121396,257,93,73171,137,47,83319070812.2831,68288440949.485
"Hypericum scouleri",418,587,186085,357,127,180917,336,114,293734808827.037,293352536392.096
"Idahoa scapigera",39,49,92129,346,120,35840,103,38,84247426021.9847,41849747517.0375
"Iliamna bakeri",51,88,147520,311,107,35784,75,27,40045185399.2996,29011551965.4422
"Iliamna latibracteata",23,40,33449,149,53,5285,13,6,2095095584.90954,4115852821.88658
"Imperata brevifolia",43,83,172970,422,136,32006,93,38,128536531505.715,46256019485.6265
"Ionactis alpina",10,15,37282,109,43,3719,17,8,2143370664.46743,3365728758.49909
"Ipomopsis aggregata",371,483,125632,266,91,114427,226,70,145478746619.121,142696863574.435
"Ipomopsis arizonica",21,33,14797,125,55,711,8,5,1870148160.83023,1902599737.25257
"Ipomopsis congesta",124,185,99022,231,84,60988,142,48,72153221002.1707,64854519282.8137
"Ipomopsis polycladon",87,113,86909,179,62,47816,109,46,72741678628.9965,52714462742.4582
"Ipomopsis tenuifolia",30,64,120268,335,106,566,6,3,5083312320.58648,2864402097.78675
"Ipomopsis tenuituba",45,71,54797,139,54,23035,65,27,33387098329.792,24035850019.1907
"Iris bracteata",27,40,58715,149,54,4364,16,8,6733935841.08977,5066337303.0699
"Iris chrysophylla",8,8,112974,223,79,5756,18,9,7157033796.85982,4296571365.16743
"Iris douglasiana",209,260,33710,116,51,32396,95,37,50467152017.0307,68090007284.27
"Iris fernaldii",26,32,92349,249,88,10719,31,15,11098564229.7033,9660568829.06385
"Iris hartwegii",232,323,105210,263,97,45703,114,44,67560073916.4419,59951752428.0669
"Iris innominata",51,72,5829,24,11,2727,7,3,982432734.603584,2727599660.57052
"Iris longipetala",64,99,64768,254,98,21468,57,24,26425056267.1925,24110126227.8787
"Iris macrosiphon",209,250,120495,264,96,76349,158,53,77751115724.7169,76913104131.5469
"Iris missouriensis",145,201,110300,263,95,90684,213,78,269097875179.703,180966209383.438
"Iris munzii",24,53,23315,132,57,881,7,4,1187133421.59375,2545250569.22714
"Iris purdyi",26,30,43629,118,46,7392,22,10,4259067930.86779,6080182379.62783
"Iris tenax",20,44,7305,80,29,1415,8,4,199894463.987898,1116913073.95652
"Iris tenuissima",106,124,66977,166,55,46482,98,32,51124751879.1301,48206003801.6347
"Iris thompsonii",13,19,8404,39,17,1835,6,2,707411322.474469,1962711472.19646
"Isocoma acradenia",344,516,210368,321,99,146399,254,82,176811034161.866,153541942150.402
"Isocoma arguta",15,32,62568,221,88,1947,6,2,279336547.489589,1384262468.25784
"Isocoma menziesii",815,1479,45119,224,90,38720,136,53,96949171714.5314,106262445726.504
"Isoetes bolanderi",158,236,46409,175,64,42237,134,48,131013927814.768,89877405255.2824
"Isoetes echinospora",9,9,30992,171,68,2087,26,12,18624984192.3198,7138400181.66928
"Isoetes howellii",160,269,204649,422,141,171169,315,98,241058151281.888,199728804032.578
"Isoetes nuttallii",198,268,136447,310,107,112202,246,89,224563646886.545,189406904265.041
"Isoetes occidentalis",58,89,51581,205,72,29063,91,36,44439438987.537,37958721945.1999
"Isoetes orcuttii",74,133,186597,422,151,103748,204,71,193783442063.981,114691059704.41
"Isolepis carinata",37,69,42143,141,59,17609,51,24,19310775666.7769,20202401051.7396
"Isolepis cernua",206,369,21629,107,46,20489,99,45,195782456304.353,135942057267.058
"Iva axillaris",318,509,244169,548,177,189733,396,131,279240142048.676,274011637461.238
"Iva hayesiana",50,89,55243,277,109,6771,26,11,12964941115.5529,9318384275.98911
"Ivesia aperta",48,94,52639,149,55,3534,8,2,1491787852.26128,3471355759.05601
"Ivesia argyrocoma",54,118,50267,175,65,1418,5,2,626361592.946725,2185443127.53409
"Ivesia arizonica",3,4,11407,63,27,587,7,5,1213788909.58645,1377859200.70133
"Ivesia baileyi",11,19,36851,171,67,2052,14,7,6634937247.75797,3523634488.05528
"Ivesia callida",2,9,126040,248,85,126,1,1,719970.570000361,431922190.551924
"Ivesia campestris",71,130,33318,123,45,6629,20,8,4135823438.06427,6782148103.92667
"Ivesia gordonii",118,180,32795,148,61,21354,94,38,91648517951.3275,52300330704.4735
"Ivesia jaegeri",6,9,99346,226,79,780,5,3,35600988.2983834,633287053.763468
"Ivesia kingii",16,33,13963,55,26,2321,10,5,945700731.428484,2012576968.35063
"Ivesia longibracteata",3,9,41103,117,41,403,4,4,778949.344607476,367391289.791012
"Ivesia lycopodioides",161,308,14115,55,24,12522,41,18,21990202986.2592,23111538346.7924
"Ivesia muirii",83,137,10229,42,21,6971,23,12,7650304461.46021,9219944162.48158
"Ivesia paniculata",13,29,29423,119,47,1184,8,5,502424831.482437,1302799972.91026
"Ivesia patellifera",12,16,9420,102,48,155,2,1,14544988.0589555,497984610.465456
"Ivesia pickeringii",16,38,14682,107,40,1695,8,3,494671559.63324,1685663618.48219
"Ivesia pygmaea",96,155,15822,60,25,6435,18,8,2979102923.80752,5987809071.58524
"Ivesia santolinoides",213,328,57582,220,77,35032,93,34,64339186427.4336,53051555276.891
"Ivesia saxosa",74,129,141714,325,113,27633,67,27,48152316276.822,28756440656.3514
"Ivesia sericoleuca",60,101,20587,98,36,3179,16,9,2623634265.54353,4881124146.63504
"Ivesia shockleyi",40,84,21645,99,42,6297,28,12,9461428131.65497,9019180474.27722
"Ivesia unguiculata",31,61,65726,203,81,8387,20,7,3749752544.42049,6587396797.52694
"Ivesia webberi",7,11,121147,352,124,2296,11,4,1089031816.76819,2398031041.96161
"Jamesia americana",110,176,28686,106,47,17174,44,19,18929254437.1722,18434146765.7634
"Jaumea carnosa",214,337,21883,119,53,20444,98,43,111122388435.686,79633352298.5158
"Jensia rammii",67,129,46991,149,59,10242,29,10,5965964544.46987,9644540919.01646
"Jensia yosemitana",48,99,82984,238,81,17411,50,20,13128885754.1086,16067708222.8439
"Jepsonia heterandra",28,51,61739,188,71,8059,20,8,4888020453.59936,7460752713.33635
"Jepsonia malvifolia",68,101,13122,75,37,1039,11,8,632214291.676814,3780423642.12521
"Jepsonia parryi",112,153,82870,278,101,12841,33,13,12027111073.0468,16147825315.8641
"Johanneshowellia puberula",1,4,623355,744,213,474,4,1,0.729097364537471,309130816.296064
"Juglans californica",316,571,44820,215,92,27906,60,22,25199146319.7661,34710268736.0851
"Juglans hindsii",71,109,78134,241,91,24788,43,15,14380818245.0929,19079372241.6704
"Juncus acuminatus",77,103,190618,418,139,76522,148,50,97100292350.8735,67917141607.2537
"Juncus acutus",176,274,122586,328,111,35704,97,39,57996114027.2248,54633451659.6956
"Juncus articulatus",57,75,151128,305,103,73311,158,54,157272329969.605,85101309495.6567
"Juncus balticus",618,790,332654,594,178,322261,580,176,369749143698.389,468141287694.648
"Juncus bolanderi",90,115,85521,201,76,54154,106,36,54478540098.398,58117110989.7062
"Juncus brachyphyllus",16,26,141424,370,117,11382,41,21,23318521408.2731,9891678974.88217
"Juncus breweri",35,51,6202,65,32,4753,46,24,40141180485.2515,21735845920.7261
"Juncus bryoides",57,77,156632,348,127,48804,127,52,164207524049.342,72917823244.1605
"Juncus bufonius",1248,1878,361995,626,192,355707,579,179,394040401257.023,483889960999.625
"Juncus capillaris",19,22,100142,225,77,10356,35,14,10562066003.1351,8234800050.2713
"Juncus chlorocephalus",127,184,46855,157,58,18936,40,15,13192050964.7667,18398324407.8445
"Juncus confusus",50,60,98460,236,83,50182,108,41,79079988978.7371,47135973651.1276
"Juncus cooperi",55,83,72737,175,58,27759,83,33,60136393470.2098,34543356744.2706
"Juncus covillei",123,168,131625,269,95,106039,193,69,189760813420.137,133474783598.346
"Juncus digitatus",7,18,32537,241,75,963,6,2,83630007.9485672,824132727.819711
"Juncus drummondii",126,164,35517,167,63,29641,100,37,55551565892.2482,52494269509.2664
"Juncus dubius",236,300,219855,427,142,143900,325,114,285100149911.307,229100967621.052
"Juncus dudleyi",17,19,126594,323,108,13384,40,16,18474790078.987,10140106151.8136
"Juncus duranii",24,52,56586,239,93,1857,13,8,1987117222.25934,3033201390.56452
"Juncus effusus",398,552,210615,395,130,200622,360,117,260982026800.535,294097348222.851
"Juncus ensifolius",371,499,169364,302,105,163377,283,93,256157599095.819,229044135532.738
"Juncus exiguus",84,106,105324,232,83,73546,147,53,92046675045.7118,75247445576.8887
"Juncus falcatus",30,45,7727,65,33,3963,30,17,31803830021.8645,14735189775.0187
"Juncus hemiendytus",125,165,162384,296,104,113773,205,72,189599315011.988,122116735084.751
